file,Rg,Dmax
OUT16_1_15500,17.8022,51.6452
OUT20_1_15500,17.8491,51.7785
OUT17_1_15500,17.8138,51.6787
OUT22_1_15500,17.8733,51.8445
OUT19_1_15500,17.8371,51.7453
OUT21_1_15500,17.8612,51.8116
OUT16_1_16000,17.8732,52.0637
OUT18_1_16000,17.9548,52.2805
OUT20_1_16000,18.0347,52.4673
OUT17_1_16000,17.9067,52.1782
OUT22_1_16000,18.1224,52.6393
OUT19_1_16000,18.0045,52.3764
OUT21_1_16000,18.0843,52.5346
OUT18_1_16500,18.015,52.2855
OUT20_1_16500,18.1666,52.672
OUT17_1_16500,17.9487,51.9604
OUT16_1_16500,17.8724,51.8156
OUT22_1_16500,18.3506,53.1015
OUT19_1_16500,18.0838,52.6088
OUT21_1_16500,18.2612,52.9313
OUT20_1_17000,18.2943,53.352
OUT17_1_17000,17.932,52.4008
OUT22_1_17000,18.6407,54.0972
OUT19_1_17000,18.1677,53.1465
OUT21_1_17000,18.4813,53.6771
OUT18_1_17000,17.9927,52.7223
OUT16_1_17000,17.821,52.073
OUT20_1_17500,18.5531,53.934
OUT22_1_17500,19.0077,55.2384
OUT17_1_17500,17.971,52.4506
OUT19_1_17500,18.2454,53.1832
OUT21_1_17500,18.7129,54.4691
OUT18_1_17500,18.0597,52.6402
OUT16_1_17500,17.7985,51.8201
OUT20_1_18000,18.7943,54.4614
OUT22_1_18000,19.4169,56.0175
OUT19_1_18000,18.3871,52.9027
OUT17_1_18000,17.9986,52.2229
OUT18_1_18000,18.0986,52.6418
OUT21_1_18000,19.0264,55.0088
OUT16_1_18000,17.8265,51.2594
OUT20_1_18500,18.9863,54.7112
OUT17_1_18500,18.0356,51.7514
OUT19_1_18500,18.5586,53.5086
OUT22_1_18500,19.7913,57.1028
OUT18_1_18500,18.2094,52.6476
OUT21_1_18500,19.3927,55.6912
OUT16_1_18500,17.9279,51.6858
OUT17_1_19000,18.0805,52.0774
OUT19_1_19000,18.7059,53.7135
OUT20_1_19000,19.2189,55.4498
OUT18_1_19000,18.3146,52.3208
OUT22_1_19000,20.3,59.7677
OUT21_1_19000,19.8194,57.4436
OUT16_1_19000,17.9857,52.0545
OUT17_1_19500,18.1133,52.5122
OUT18_1_19500,18.4252,52.9092
OUT19_1_19500,18.8576,53.779
OUT20_1_19500,19.4596,56.1353
OUT16_1_19500,17.8737,51.8547
OUT22_1_19500,20.8022,62.5664
OUT21_1_19500,20.1981,59.8602
OUT17_1_20000,18.0585,52.1451
OUT18_1_20000,18.4458,52.6114
OUT19_1_20000,19.0621,54.6536
OUT20_1_20000,19.7112,57.8015
OUT22_1_20000,21.3388,65.2809
OUT21_1_20000,20.6759,62.2926
OUT17_1_20500,17.928,52.0253
OUT16_1_20500,17.669,51.6384
OUT18_1_20500,18.3358,52.6174
OUT19_1_20500,19.3193,55.6296
OUT20_1_20500,19.9953,59.486
OUT22_1_20500,21.834,67.848
OUT21_1_20500,21.1363,64.692
OUT17_1_21000,17.8696,51.8454
OUT16_1_21000,17.6582,51.4589
OUT18_1_21000,18.3656,52.6842
OUT19_1_21000,19.5297,56.6152
OUT20_1_21000,20.2468,61.208
OUT22_1_21000,22.3551,70.174
OUT21_1_21000,21.5517,66.8914
OUT17_1_21500,17.8981,51.8252
OUT16_1_21500,17.6471,51.6874
OUT18_1_21500,18.4648,52.7816
OUT19_1_21500,19.6938,57.7219
OUT20_1_21500,20.5572,62.9072
OUT22_1_21500,22.8233,72.2046
OUT21_1_21500,21.8886,68.9048
OUT16_1_22000,17.6623,51.7855
OUT18_1_22000,18.5873,53.1736
OUT17_1_22000,17.9392,51.7401
OUT19_1_22000,19.7633,58.803
OUT20_1_22000,20.8514,64.4527
OUT22_1_22000,23.2051,73.9399
OUT16_1_22500,17.6279,51.7533
OUT21_1_22000,22.1848,70.545
OUT17_1_22500,17.9186,51.5773
OUT18_1_22500,18.6415,53.6426
OUT19_1_22500,19.8526,59.4585
OUT20_1_22500,21.1614,65.9069
OUT16_1_23000,17.6386,52.6604
OUT17_1_23000,17.8993,51.644
OUT22_1_22500,23.4613,75.2557
OUT21_1_22500,22.418,71.8568
OUT19_1_23000,19.9764,59.6808
OUT20_1_23000,21.4039,67.1857
OUT16_1_23500,17.5884,52.5821
OUT17_1_23500,17.7911,51.5552
OUT18_1_23500,18.8309,53.9787
OUT22_1_23000,23.5447,76.0751
OUT21_1_23000,22.651,72.8688
OUT19_1_23500,20.0419,59.8139
OUT20_1_23500,21.583,68.3029
OUT16_1_24000,17.6064,52.8891
OUT17_1_24000,17.669,51.3787
OUT18_1_24000,18.8741,54.0379
OUT19_1_24000,20.0546,59.8101
OUT21_1_23500,22.7556,73.5995
OUT22_1_23500,23.5568,76.4847
OUT20_1_24000,21.7302,69.1988
OUT16_1_24500,17.5561,52.2734
OUT17_1_24500,17.6247,51.7861
OUT18_1_24500,18.8569,54.1458
OUT19_1_24500,20.0814,59.8125
OUT21_1_24000,22.793,74.039
OUT22_1_24000,23.4697,76.4445
OUT16_1_25000,17.5605,52.6434
OUT17_1_25000,17.5915,52.0576
OUT20_1_24500,21.8258,69.9041
OUT18_1_25000,18.8065,54.1544
OUT19_1_25000,20.0307,59.7021
OUT21_1_24500,22.8155,74.3541
OUT16_1_25500,17.5631,52.7175
OUT17_1_25500,17.5984,52.2621
OUT22_1_24500,23.3043,76.127
OUT20_1_25000,21.8427,70.3716
OUT18_1_25500,18.8108,53.9386
OUT19_1_25500,19.978,59.5173
OUT16_1_26000,17.4991,52.7848
OUT17_1_26000,17.6613,52.2599
OUT21_1_25000,22.7885,74.4296
OUT18_1_26000,18.7921,53.6509
OUT22_1_25000,23.0489,75.6751
OUT20_1_25500,21.8504,70.6093
OUT19_1_26000,19.9355,59.2322
OUT16_1_26500,17.4388,52.4641
OUT17_1_26500,17.611,52.0542
OUT18_1_26500,18.7035,53.3738
OUT21_1_25500,22.7126,74.5336
OUT22_1_25500,22.8463,75.2704
OUT20_1_26000,21.7665,70.5531
OUT19_1_26500,19.9663,58.8722
OUT16_1_27000,17.4496,52.435
OUT17_1_27000,17.6803,52.212
OUT18_1_27000,18.6056,52.9648
OUT21_1_26000,22.7209,74.762
OUT20_1_26500,21.7323,70.2625
OUT22_1_26000,22.9186,75.5035
OUT19_1_27000,19.9323,58.4328
OUT16_1_27500,17.421,51.9156
OUT17_1_27500,17.7293,52.9299
OUT18_1_27500,18.5213,52.5446
OUT21_1_26500,22.7819,74.9904
OUT20_1_27000,21.6638,69.9839
OUT19_1_27500,19.887,58.0681
OUT16_1_28000,17.4354,52.2401
OUT17_1_28000,17.7327,52.6526
OUT22_1_26500,23.1926,76.2335
OUT18_1_28000,18.4017,52.0483
OUT21_1_27000,22.8295,75.0922
OUT16_1_28500,17.4632,52.2679
OUT19_1_28000,19.8553,57.7768
OUT17_1_28500,17.6626,52.7654
OUT20_1_27500,21.6765,70.1721
OUT22_1_27000,23.594,77.2312
OUT18_1_28500,18.3425,52.027
OUT16_1_29000,17.4733,52.7075
OUT19_1_28500,19.8125,57.5287
