file,Rg,Dmax
OUT30_1_15500,35.2716,122.716
OUT34_1_15500,35.3345,122.826
OUT38_1_15500,35.3956,123.097
OUT35_1_15500,35.3497,122.914
OUT39_1_15500,35.4111,123.185
OUT36_1_15500,35.365,122.964
OUT40_1_15500,35.4266,123.24
OUT33_1_15500,35.3194,122.782
OUT31_1_15500,35.2881,122.761
OUT32_1_15500,35.3032,122.753
OUT37_1_15500,35.38,123.046
OUT30_1_16000,34.9365,120.92
OUT38_1_16000,35.3645,123.47
OUT40_1_16000,35.4729,123.956
OUT39_1_16000,35.4181,123.739
OUT37_1_16000,35.3086,122.601
OUT36_1_16000,35.256,122.377
OUT34_1_16000,35.149,121.952
OUT31_1_16000,34.9937,121.615
OUT35_1_16000,35.205,122.219
OUT32_1_16000,35.0414,121.446
OUT33_1_16000,35.0953,121.676
OUT38_1_16500,35.4155,122.518
OUT30_1_16500,34.5619,118.083
OUT37_1_16500,35.3003,121.263
OUT40_1_16500,35.6496,124.257
OUT31_1_16500,34.6701,118.516
OUT36_1_16500,35.1723,121.344
OUT39_1_16500,35.5298,123.57
OUT34_1_16500,34.9759,120.243
OUT38_1_17000,35.5193,122.567
OUT35_1_16500,35.0848,120.811
OUT30_1_17000,34.096,115.4
OUT33_1_16500,34.8642,119.964
OUT40_1_17000,35.9289,123.557
OUT32_1_16500,34.7516,119.733
OUT37_1_17000,35.3388,121.271
OUT36_1_17000,35.1463,120.154
OUT31_1_17000,34.2688,115.627
OUT39_1_17000,35.7176,123.257
OUT34_1_17000,34.7815,117.997
OUT40_1_17500,36.2648,125.55
OUT35_1_17000,34.9423,119.416
OUT37_1_17500,35.3584,120.834
OUT30_1_17500,33.5257,111.408
OUT38_1_17500,35.6642,123.196
OUT36_1_17500,35.106,119.589
OUT33_1_17000,34.6169,118.474
OUT32_1_17000,34.4222,116.685
OUT31_1_17500,33.7679,112.81
OUT40_1_18000,36.6835,126.558
OUT35_1_17500,34.8201,117.744
OUT39_1_17500,35.9664,124.661
OUT34_1_17500,34.5526,115.419
OUT38_1_18000,35.8945,123.837
OUT30_1_18000,33.0065,107.39
OUT36_1_18000,35.0875,119.304
OUT32_1_17500,34.0244,113.054
OUT31_1_18000,33.3183,109.459
OUT37_1_18000,35.4834,120.577
OUT33_1_17500,34.2613,116.618
OUT40_1_18500,37.2098,128.401
OUT35_1_18000,34.7223,116.391
OUT39_1_18000,36.2735,125.622
OUT38_1_18500,36.1945,124.07
OUT32_1_18000,33.6335,111.907
OUT31_1_18500,32.862,104.799
OUT30_1_18500,32.5129,102.849
OUT37_1_18500,35.676,120.59
OUT34_1_18000,34.3481,114.156
OUT36_1_18500,35.0832,117.54
OUT40_1_19000,37.817,129.441
OUT35_1_18500,34.6497,114.683
OUT39_1_18500,36.6336,125.66
OUT33_1_18000,34.0062,114.15
OUT32_1_18500,33.2881,109.638
OUT38_1_19000,36.5678,125.012
OUT36_1_19000,35.1369,117.237
OUT30_1_19000,32.0534,99.7377
OUT40_1_19500,38.4986,130.926
OUT31_1_19000,32.4391,101.048
OUT34_1_18500,34.221,112.538
OUT35_1_19000,34.5625,113.609
OUT37_1_19000,35.9058,118.797
OUT32_1_19000,32.8983,106.169
OUT39_1_19000,37.132,126.125
OUT33_1_18500,33.7576,109.993
OUT38_1_19500,36.966,124.761
OUT30_1_19500,31.6232,95.2019
OUT40_1_20000,39.2547,132.682
OUT35_1_19500,34.5001,111.443
OUT31_1_19500,32.0016,98.258
OUT36_1_19500,35.2105,117.514
OUT34_1_19000,34.0961,111.891
OUT32_1_19500,32.5893,102.966
OUT38_1_20000,37.3735,124.954
OUT39_1_19500,37.6948,127.258
OUT37_1_19500,36.149,119.703
OUT33_1_19000,33.4651,105.843
OUT30_1_20000,31.2756,92.2233
OUT34_1_19500,33.937,108.38
OUT40_1_20500,40.054,133.925
OUT32_1_20000,32.294,100.011
OUT31_1_20000,31.5928,94.6789
OUT36_1_20000,35.2636,118.271
OUT35_1_20000,34.4806,110.606
OUT38_1_20500,37.7928,125.71
OUT33_1_19500,33.1857,104.031
OUT39_1_20000,38.2585,129.074
OUT30_1_20500,30.92,89.1576
OUT34_1_20000,33.7814,105.984
OUT37_1_20000,36.4152,121.232
OUT31_1_20500,31.2554,92.103
OUT32_1_20500,32.0124,96.9691
OUT36_1_20500,35.3681,118.277
OUT40_1_21000,40.8457,137.717
OUT33_1_20000,32.9929,102.571
OUT35_1_20500,34.4827,109.476
OUT39_1_20500,38.809,131.583
OUT30_1_21000,30.6707,87.3339
OUT38_1_21000,38.2267,126.025
OUT32_1_21000,31.7816,94.3487
OUT31_1_21000,30.8687,90.7129
OUT36_1_21000,35.4509,117.164
OUT34_1_20500,33.6223,104.246
OUT37_1_20500,36.7375,122.448
OUT33_1_20500,32.8993,101.26
OUT35_1_21000,34.4638,108.427
OUT40_1_21500,41.5557,139.446
OUT30_1_21500,30.4518,87.1233
OUT32_1_21500,31.564,93.0658
OUT38_1_21500,38.6265,128.416
OUT31_1_21500,30.5334,90.0467
OUT39_1_21000,39.3104,132.634
OUT35_1_21500,34.4885,108.646
OUT34_1_21000,33.452,102.732
OUT33_1_21000,32.76,100.914
OUT32_1_22000,31.3082,90.4296
OUT36_1_21500,35.5797,116.762
OUT30_1_22000,30.1842,86.1404
OUT40_1_22000,42.1169,140.848
OUT37_1_21000,37.0305,123.112
OUT38_1_22000,38.9544,129.788
OUT31_1_22000,30.2454,89.1338
OUT34_1_21500,33.2889,100.008
OUT35_1_22000,34.5394,109.386
OUT33_1_21500,32.5564,100.675
OUT32_1_22500,31.1113,89.8929
OUT39_1_21500,39.7889,133.605
OUT30_1_22500,29.968,84.3741
OUT31_1_22500,30.0419,88.7349
OUT36_1_22000,35.7295,117.622
OUT37_1_21500,37.3163,122.619
OUT38_1_22500,39.2285,131.189
OUT35_1_22500,34.6055,109.84
OUT34_1_22000,33.1905,99.783
OUT32_1_23000,31.0321,88.6675
OUT33_1_22000,32.474,98.3708
OUT40_1_22500,42.5577,142.057
OUT30_1_23000,29.8317,84.4114
OUT31_1_23000,29.9376,88.1857
OUT32_1_23500,31.0073,88.3149
OUT35_1_23000,34.7056,110.786
OUT39_1_22000,40.2556,133.161
OUT34_1_22500,33.1328,98.2548
OUT36_1_22500,35.8995,117.897
OUT38_1_23000,39.4771,132.421
OUT31_1_23500,29.8516,89.0375
OUT37_1_22000,37.5586,123.259
OUT33_1_22500,32.419,96.9173
OUT40_1_23000,42.9171,143.302
OUT30_1_23500,29.6227,83.7745
OUT32_1_24000,30.9566,88.4066
OUT35_1_23500,34.8653,110.429
OUT34_1_23000,33.046,97.6496
OUT36_1_23000,36.0604,117.523
OUT31_1_24000,29.7504,89.4057
OUT33_1_23000,32.3295,96.0797
OUT38_1_23500,39.6986,132.719
OUT40_1_23500,43.1845,145.038
OUT32_1_24500,30.9009,88.0251
OUT30_1_24000,29.3811,83.7138
OUT39_1_22500,40.6761,135.112
OUT37_1_22500,37.7933,123.687
OUT34_1_23500,33.0276,98.4567
OUT35_1_24000,34.9901,110.947
OUT31_1_24500,29.6547,88.4057
OUT33_1_23500,32.2824,95.7395
OUT36_1_23500,36.2174,116.713
OUT32_1_25000,30.9342,88.1023
OUT38_1_24000,39.8591,132.464
OUT40_1_24000,43.3863,145.326
OUT34_1_24000,33.1096,99.0465
OUT30_1_24500,29.2736,84.044
OUT37_1_23000,37.9709,122.313
OUT31_1_25000,29.6754,89.1244
OUT39_1_23000,41.0397,135.99
OUT35_1_24500,35.0732,110.479
OUT36_1_24000,36.3472,117.245
OUT33_1_24000,32.2461,95.7815
OUT32_1_25500,31.0771,88.2915
OUT38_1_24500,39.9669,130.605
OUT34_1_24500,33.1752,100.247
OUT31_1_25500,29.7676,89.6182
OUT35_1_25000,35.1014,109.504
OUT30_1_25000,29.1803,82.7171
OUT40_1_24500,43.5172,145.504
OUT36_1_24500,36.4286,116.033
OUT39_1_23500,41.3199,137.428
OUT33_1_24500,32.1912,95.9481
OUT37_1_23500,38.1425,121.678
OUT32_1_26000,31.2317,89.2941
OUT34_1_25000,33.2134,101.17
OUT31_1_26000,29.8232,88.6438
OUT38_1_25000,40.0198,130.167
OUT35_1_25500,35.1395,107.871
OUT30_1_25500,29.0656,81.9805
OUT36_1_25000,36.5156,115.358
OUT40_1_25000,43.5822,146.447
OUT33_1_25000,32.1537,94.8694
OUT39_1_24000,41.5564,137.391
OUT35_1_26000,35.2382,109.13
OUT34_1_25500,33.3151,101.701
OUT38_1_25500,40.0679,129.91
OUT31_1_26500,29.8856,86.7026
OUT32_1_26500,31.384,89.8329
OUT37_1_24000,38.2942,122.676
OUT30_1_26000,29.0181,82.2923
OUT36_1_25500,36.57,116.538
OUT33_1_25500,32.1702,94.9946
OUT35_1_26500,35.3981,109.849
OUT40_1_25500,43.506,146.887
OUT30_1_26500,29.0703,82.2544
OUT34_1_26000,33.4604,102.027
OUT38_1_26000,40.0365,129.836
OUT39_1_24500,41.7062,137.09
OUT31_1_27000,29.9457,86.9201
OUT32_1_27000,31.5379,91.8645
OUT37_1_24500,38.4099,122.583
OUT36_1_26000,36.6877,116.65
OUT33_1_26000,32.1799,93.3554
OUT30_1_27000,29.1271,82.1201
OUT35_1_27000,35.5071,109.504
OUT31_1_27500,30.0991,86.7865
OUT38_1_26500,39.9255,128.777
OUT34_1_26500,33.6456,102.338
OUT39_1_25000,41.7669,136.571
OUT37_1_25000,38.4951,122.269
OUT32_1_27500,31.6734,93.0175
OUT33_1_26500,32.2022,92.4966
OUT40_1_26000,43.2802,145.942
OUT36_1_26500,36.8144,115.529
OUT30_1_27500,29.1251,82.3094
OUT31_1_28000,30.3042,87.0244
OUT35_1_27500,35.6357,110.16
OUT38_1_27000,39.7302,126.383
OUT34_1_27000,33.7844,104.217
OUT32_1_28000,31.8137,93.9623
OUT30_1_28000,29.1315,81.483
OUT39_1_25500,41.7669,136.125
OUT37_1_25500,38.5514,122.496
OUT33_1_27000,32.2565,91.8688
OUT31_1_28500,30.4667,87.0101
OUT38_1_27500,39.5644,124.748
OUT36_1_27000,36.939,114.852
OUT35_1_28000,35.7459,110.557
OUT34_1_27500,33.8981,103.697
OUT30_1_28500,29.2857,81.6783
OUT40_1_26500,42.9415,144.724
OUT32_1_28500,32.0256,94.8879
OUT39_1_26000,41.7586,135.163
OUT37_1_26000,38.6132,122.328
OUT31_1_29000,30.6089,88.2605
OUT33_1_27500,32.4074,91.5486
OUT35_1_28500,35.7806,109.888
OUT34_1_28000,33.9896,103.531
OUT36_1_27500,36.9563,113.52
OUT30_1_29000,29.4095,82.126
OUT38_1_28000,39.3749,124.407
OUT40_1_27000,42.5917,142.988
OUT32_1_29000,32.2092,96.5356
OUT31_1_29500,30.8148,89.8172
OUT35_1_29000,35.7706,110.291
OUT37_1_26500,38.6538,124.076
OUT34_1_28500,34.0651,104.13
OUT39_1_26500,41.7569,134.944
OUT36_1_28000,36.9057,112.586
OUT33_1_28000,32.5104,92.1945
OUT30_1_29500,29.5149,81.2243
OUT38_1_28500,39.1527,123.149
OUT30_1_30000,29.6362,80.6003
OUT32_1_29500,32.3425,96.2097
OUT31_1_30000,31.0494,89.4255
OUT37_1_27000,38.6085,122.844
OUT40_1_27500,42.2033,141.56
OUT33_1_28500,32.6051,92.5414
OUT34_1_29000,34.1469,103.791
OUT35_1_29500,35.7765,109.2
OUT39_1_27000,41.7112,132.667
OUT36_1_28500,36.8158,111.774
OUT31_1_30500,31.2223,88.2862
OUT32_1_30000,32.4569,95.7248
OUT30_1_30500,29.8177,79.2087
OUT33_1_29000,32.6646,92.902
OUT38_1_29000,38.9276,120.661
OUT40_1_28000,41.7508,139.238
OUT37_1_27500,38.4916,121.553
