file,Rg,Dmax
OUT14_1_15500,15.2559,46.4518
OUT17_1_15500,15.3426,46.915
OUT16_1_15500,15.3134,46.7581
OUT15_1_15500,15.2848,46.6038
OUT18_1_15500,15.374,47.0704
OUT14_1_16000,15.1859,44.5943
OUT17_1_16000,15.5088,46.667
OUT16_1_16000,15.4124,46.1843
OUT15_1_16000,15.3019,45.2961
OUT18_1_16000,15.6544,47.7271
OUT14_1_16500,15.0386,43.5033
OUT17_1_16500,15.6952,48.5973
OUT15_1_16500,15.2904,45.7763
OUT16_1_16500,15.4939,47.3977
OUT18_1_16500,15.9826,50.1322
OUT14_1_17000,14.8739,43.2524
OUT15_1_17000,15.0815,47.0844
OUT17_1_17000,15.8875,51.0424
OUT16_1_17000,15.5752,47.2346
OUT18_1_17000,16.1637,52.2619
OUT14_1_17500,14.6548,41.8168
OUT15_1_17500,14.9783,46.1067
OUT16_1_17500,15.6035,47.9422
OUT17_1_17500,16.0663,51.7549
OUT18_1_17500,16.4101,54.8231
OUT14_1_18000,14.6043,42.6808
OUT15_1_18000,15.0212,44.0552
OUT16_1_18000,15.7298,48.2584
OUT17_1_18000,16.1916,52.3191
OUT18_1_18000,16.6528,55.3886
OUT14_1_18500,14.519,41.9355
OUT15_1_18500,14.952,43.477
OUT16_1_18500,15.7909,47.8872
OUT17_1_18500,16.3414,54.1185
OUT18_1_18500,16.8153,59.6483
OUT14_1_19000,14.3802,41.6903
OUT15_1_19000,14.8968,44.1814
OUT16_1_19000,15.7548,46.852
OUT17_1_19000,16.4168,56.1759
OUT14_1_19500,14.2563,41.9736
OUT18_1_19000,17.0344,62.3343
OUT15_1_19500,14.8881,43.8958
OUT16_1_19500,15.6164,47.755
OUT17_1_19500,16.5398,56.5487
OUT14_1_20000,14.1368,41.9534
OUT15_1_20000,14.8994,44.0269
OUT18_1_19500,17.079,63.1703
OUT16_1_20000,15.5974,48.9967
OUT14_1_20500,13.9933,40.7045
OUT17_1_20000,16.5974,58.9833
OUT15_1_20500,14.9454,44.3506
OUT16_1_20500,15.7792,49.5572
OUT18_1_20000,17.0157,64.7317
OUT14_1_21000,13.9066,41.1476
OUT15_1_21000,14.9287,44.3418
OUT17_1_20500,16.6059,59.7028
OUT16_1_21000,15.8939,49.6582
OUT14_1_21500,13.8295,41.8494
OUT18_1_20500,17.0681,66.3987
OUT15_1_21500,14.8073,43.3932
OUT17_1_21000,16.6063,59.9708
OUT14_1_22000,13.96,42.9825
OUT16_1_21500,15.9186,51.3329
OUT18_1_21000,17.1819,67.2683
OUT15_1_22000,14.7259,42.7769
OUT17_1_21500,16.7296,62.7262
OUT14_1_22500,14.0179,43.5282
OUT16_1_22000,15.8812,52.286
OUT15_1_22500,14.7052,43.2825
OUT18_1_21500,17.4475,67.78
OUT14_1_23000,14.096,42.4835
OUT17_1_22000,16.8379,64.1762
OUT16_1_22500,15.906,52.5352
OUT15_1_23000,14.6806,44.4891
OUT14_1_23500,14.2051,43.3125
OUT18_1_22000,17.7831,68.9592
OUT17_1_22500,16.9671,64.2709
