file                Rg           Dmax
OUT24_1_15500 20.9235 62.2032
OUT22_1_15500 20.8876 62.1066
OUT23_1_15500 20.9058 62.1547
OUT26_1_15500 20.9599 62.3007
OUT23_1_16000 20.9389 62.358
OUT26_1_16000 21.117 62.8723
OUT24_1_16000 20.9894 62.5124
OUT22_1_16000 20.8939 62.2161
OUT22_1_16500 21.059 62.695
OUT24_1_16500 21.1973 63.1845
OUT23_1_16500 21.1305 62.9277
OUT26_1_16500 21.4602 63.9401
OUT23_1_17000 21.4031 63.6827
OUT24_1_17000 21.4985 64.0811
OUT22_1_17000 21.2988 63.3278
OUT26_1_17000 21.9108 65.2579
OUT23_1_17500 21.7357 64.5735
OUT22_1_17500 21.552 64.0833
OUT24_1_17500 21.8587 65.0558
OUT26_1_17500 22.4512 66.8193
OUT22_1_18000 21.7888 64.7563
OUT23_1_18000 22.0488 65.4906
OUT24_1_18000 22.2383 66.1913
OUT26_1_18000 23.0044 68.5226
OUT22_1_18500 21.9672 65.3818
OUT23_1_18500 22.293 66.4471
OUT24_1_18500 22.6196 67.4485
OUT26_1_18500 23.5523 70.2578
OUT22_1_19000 22.0753 65.9035
OUT23_1_19000 22.5149 67.3023
OUT24_1_19000 23.0228 68.7894
OUT26_1_19000 23.9869 71.7008
OUT22_1_19500 22.2367 66.4215
OUT23_1_19500 22.7607 68.1341
OUT24_1_19500 23.4072 70.0425
OUT26_1_19500 24.2918 72.796
OUT22_1_20000 22.3764 66.8583
OUT23_1_20000 23.0321 68.9091
OUT24_1_20000 23.7224 71.0147
OUT26_1_20000 24.3369 73.0112
OUT22_1_20500 22.467 67.1833
OUT23_1_20500 23.2156 69.4311
OUT24_1_20500 23.973 71.6767
OUT26_1_20500 24.1492 72.4521
OUT22_1_21000 22.4976 67.4109
OUT23_1_21000 23.2626 69.5643
OUT24_1_21000 23.946 71.656
OUT26_1_21000 23.8738 71.7353
OUT22_1_21500 22.5385 67.5324
OUT23_1_21500 23.1965 69.3964
OUT24_1_21500 23.6699 71.0417
OUT26_1_21500 23.5842 71.0113
OUT22_1_22000 22.5318 67.5514
OUT23_1_22000 23.0522 69.0459
OUT24_1_22000 23.3223 70.2395
OUT26_1_22000 23.3752 70.5132
OUT22_1_22500 22.5924 67.6819
OUT23_1_22500 22.8913 68.7133
OUT24_1_22500 23.0469 69.5328
OUT26_1_22500 23.3021 70.3343
OUT22_1_23000 22.6324 67.7956
OUT23_1_23000 22.7666 68.4434
OUT24_1_23000 22.8677 69.0261
OUT26_1_23000 23.3618 70.4637
OUT22_1_23500 22.6568 67.8425
OUT23_1_23500 22.7446 68.4079
OUT24_1_23500 22.7749 68.6987
OUT26_1_23500 23.4599 70.798
OUT22_1_24000 22.5996 67.6988
OUT23_1_24000 22.7954 68.507
OUT24_1_24000 22.6949 68.4568
OUT26_1_24000 23.5696 71.2678
OUT22_1_24500 22.5573 67.5199
OUT23_1_24500 22.8632 68.6226
OUT24_1_24500 22.6616 68.3657
OUT26_1_24500 23.7555 71.8941
OUT22_1_25000 22.5128 67.2779
OUT23_1_25000 22.9377 68.7408
OUT24_1_25000 22.6656 68.4132
OUT26_1_25000 24.0471 72.776
OUT22_1_25500 22.4349 66.9841
OUT23_1_25500 22.949 68.8049
OUT24_1_25500 22.7526 68.5581
OUT26_1_25500 24.4091 73.8199
OUT22_1_26000 22.3228 66.6559
OUT23_1_26000 22.9175 68.7263
OUT24_1_26000 22.9249 68.8585
OUT26_1_26000 24.7912 74.9848
OUT22_1_26500 22.236 66.4345
OUT23_1_26500 22.8153 68.4877
OUT24_1_26500 23.1217 69.2216
OUT26_1_26500 25.1222 76.0867
OUT22_1_27000 22.2041 66.3119
OUT23_1_27000 22.7713 68.3098
OUT24_1_27000 23.25 69.5233
OUT22_1_27500 22.2049 66.2691
OUT26_1_27000 25.35 76.9153
OUT23_1_27500 22.7423 68.1493
OUT24_1_27500 23.3068 69.8793
OUT22_1_28000 22.253 66.3504
OUT26_1_27500 25.3925 77.2836
OUT23_1_28000 22.7281 67.9871
OUT24_1_28000 23.3891 70.3713
OUT22_1_28500 22.2829 66.3859
OUT26_1_28000 25.3045 77.2861
OUT23_1_28500 22.7176 67.8721
OUT24_1_28500 23.5342 70.9545
OUT22_1_29000 22.2707 66.3617
OUT26_1_28500 25.1354 77.0296
OUT23_1_29000 22.6877 67.7369
OUT24_1_29000 23.7609 71.7068
OUT22_1_29500 22.3027 66.3702
OUT23_1_29500 22.6418 67.6181
OUT26_1_29000 24.9675 76.7354
OUT24_1_29500 24.0527 72.5655
OUT22_1_30000 22.3552 66.398
OUT23_1_30000 22.572 67.4828
OUT26_1_29500 24.842 76.4935
OUT24_1_30000 24.3539 73.444
OUT22_1_30500 22.3455 66.2928
OUT23_1_30500 22.5127 67.3903
OUT26_1_30000 24.8026 76.4063
OUT24_1_30500 24.5753 74.1331
OUT22_1_31000 22.3124 66.1385
OUT23_1_31000 22.5103 67.371
OUT26_1_30500 24.8562 76.517
OUT24_1_31000 24.6836 74.6028
OUT22_1_31500 22.2917 65.9855
OUT23_1_31500 22.5082 67.378
OUT26_1_31000 24.994 76.8131
OUT24_1_31500 24.669 74.7488
OUT22_1_32000 22.3147 65.9214
OUT23_1_32000 22.5367 67.4323
OUT26_1_31500 25.1762 77.2273
OUT22_1_32500 22.2897 65.8257
OUT24_1_32000 24.5375 74.5383
OUT23_1_32500 22.5832 67.5141
OUT22_1_33000 22.2099 65.6705
OUT24_1_32500 24.3631 74.1479
OUT26_1_32000 25.3668 77.6274
OUT23_1_33000 22.6755 67.7088
OUT22_1_33500 22.084 65.4118
OUT24_1_33000 24.2178 73.7621
OUT26_1_32500 25.5402 77.9802
OUT23_1_33500 22.7601 67.8792
OUT22_1_34000 21.9963 65.0779
OUT24_1_33500 24.1013 73.3444
OUT26_1_33000 25.6176 78.0971
OUT23_1_34000 22.8479 68.1206
OUT22_1_34500 21.9015 64.6983
OUT24_1_34000 24.0118 72.8881
OUT26_1_33500 25.5611 77.8978
OUT23_1_34500 22.9288 68.3591
OUT22_1_35000 21.8217 64.3715
OUT24_1_34500 23.9509 72.4505
OUT26_1_34000 25.4123 77.4469
OUT23_1_35000 22.9992 68.5377
OUT22_1_35500 21.7543 64.117
OUT24_1_35000 23.9315 72.1605
OUT23_1_35500 23.0459 68.7148
OUT26_1_34500 25.2024 76.8418
OUT22_1_36000 21.7824 64.1535
OUT24_1_35500 23.9887 72.15
OUT23_1_36000 23.0647 68.8153
OUT26_1_35000 24.9745 76.1638
OUT22_1_36500 21.8481 64.3148
OUT24_1_36000 24.0521 72.2895
OUT23_1_36500 23.0855 68.8798
OUT26_1_35500 24.7916 75.5205
OUT22_1_37000 21.875 64.4485
OUT24_1_36500 24.1166 72.5072
OUT23_1_37000 23.1057 68.91
OUT22_1_37500 21.8962 64.6261
OUT26_1_36000 24.6708 74.99
OUT24_1_37000 24.1712 72.6777
OUT23_1_37500 23.1563 68.9762
OUT22_1_38000 21.9722 64.965
OUT26_1_36500 24.6265 74.5634
OUT24_1_37500 24.2166 72.8379
OUT23_1_38000 23.1771 68.9583
OUT22_1_38500 22.0169 65.2483
OUT26_1_37000 24.6287 74.1895
OUT24_1_38000 24.2293 72.8885
OUT23_1_38500 23.1591 68.8741
OUT22_1_39000 22.0239 65.4099
OUT26_1_37500 24.6128 73.7736
OUT23_1_39000 23.1258 68.7227
OUT24_1_38500 24.2336 72.8617
OUT22_1_39500 22.0781 65.4456
OUT26_1_38000 24.5551 73.2611
OUT23_1_39500 23.1135 68.6054
OUT22_1_40000 22.0757 65.2458
OUT24_1_39000 24.2267 72.7316
OUT26_1_38500 24.4373 72.9226
OUT23_1_40000 23.0641 68.4214
OUT22_1_40500 21.9322 64.7773
OUT24_1_39500 24.1621 72.501
OUT26_1_39000 24.2978 72.6068
OUT22_1_41000 21.7566 64.2786
OUT23_1_40500 23.0111 68.2365
OUT24_1_40000 24.1105 72.2787
OUT26_1_39500 24.1728 72.3258
OUT22_1_41500 21.7339 64.1714
OUT23_1_41000 22.9495 68.0158
OUT24_1_40500 24.0361 71.9886
OUT26_1_40000 24.101 72.1494
OUT22_1_42000 21.8263 64.45
OUT23_1_41500 22.9458 67.8283
OUT24_1_41000 23.9589 71.6665
OUT26_1_40500 24.0863 72.0744
OUT22_1_42500 21.9614 64.8387
OUT23_1_42000 22.9935 67.6815
OUT24_1_41500 23.8412 71.25
OUT26_1_41000 24.0435 71.9654
OUT22_1_43000 22.0352 65.0295
OUT23_1_42500 23.0308 67.5004
OUT24_1_42000 23.7391 70.8325
OUT26_1_41500 23.9801 71.831
OUT22_1_43500 22.0562 65.0703
OUT23_1_43000 22.9981 67.2218
OUT24_1_42500 23.634 70.4206
OUT26_1_42000 23.8716 71.639
OUT22_1_44000 22.0736 64.9885
OUT23_1_43500 22.8991 66.8839
OUT24_1_43000 23.5649 70.0784
OUT22_1_44500 22.0223 64.7423
OUT26_1_42500 23.7446 71.3636
OUT23_1_44000 22.7808 66.5314
OUT24_1_43500 23.5252 69.7749
OUT22_1_45000 21.8668 64.2934
OUT26_1_43000 23.5693 70.9994
OUT23_1_44500 22.7477 66.2977
OUT24_1_44000 23.5045 69.4516
OUT22_1_45500 21.7346 63.8164
OUT26_1_43500 23.3942 70.5966
OUT23_1_45000 22.7614 66.1095
OUT24_1_44500 23.4685 69.0594
OUT22_1_46000 21.8607 64.1159
OUT26_1_44000 23.2256 70.2027
OUT23_1_45500 22.7605 65.9986
OUT24_1_45000 23.4123 68.5802
OUT22_1_46500 22.0403 64.5057
OUT23_1_46000 22.7236 65.9722
OUT26_1_44500 23.0986 69.828
OUT24_1_45500 23.3721 68.1078
OUT22_1_47000 22.1361 64.7036
OUT23_1_46500 22.7132 66.0406
OUT26_1_45000 23.0676 69.6227
OUT24_1_46000 23.3285 67.6324
OUT22_1_47500 22.0871 64.666
OUT23_1_47000 22.8361 66.3346
OUT26_1_45500 23.0408 69.4371
OUT24_1_46500 23.2841 67.1426
OUT22_1_48000 22.0328 64.5334
OUT23_1_47500 22.985 66.7244
OUT26_1_46000 23.0545 69.3764
OUT24_1_47000 23.2216 66.6423
OUT22_1_48500 22.0599 64.3951
OUT23_1_48000 23.0646 66.9812
OUT26_1_46500 23.0639 69.3727
OUT24_1_47500 23.1275 66.13
OUT22_1_49000 22.0394 64.2119
OUT23_1_48500 23.0706 67.2203
OUT26_1_47000 23.0545 69.3806
OUT24_1_48000 23.0377 65.6813
OUT22_1_49500 21.9509 63.861
OUT23_1_49000 23.0823 67.45
OUT26_1_47500 23.1101 69.5342
OUT24_1_48500 23.0918 65.6861
OUT22_1_50000 21.8329 63.4455
OUT23_1_49500 23.1027 67.5971
OUT26_1_48000 23.1484 69.6753
OUT24_1_49000 23.2109 65.8497
OUT22_1_50500 21.7457 63.0111
OUT23_1_50000 23.1717 67.7184
OUT26_1_48500 23.165 69.806
OUT24_1_49500 23.254 65.9475
OUT22_1_51000 21.7199 62.801
OUT23_1_50500 23.3068 67.8921
OUT26_1_49000 23.1884 69.9886
OUT24_1_50000 23.2721 66.0208
OUT22_1_51500 21.7367 62.7038
OUT23_1_51000 23.3765 67.9095
OUT26_1_49500 23.1594 70.1228
OUT22_1_52000 21.7454 62.6112
OUT24_1_50500 23.3013 66.0397
OUT23_1_51500 23.3654 67.8247
OUT26_1_50000 23.143 70.2814
OUT22_1_52500 21.7326 62.478
OUT24_1_51000 23.2556 65.8626
OUT23_1_52000 23.2578 67.569
OUT26_1_50500 23.162 70.4995
OUT22_1_53000 21.6792 62.3197
OUT24_1_51500 23.1344 65.564
OUT23_1_52500 23.04 67.038
OUT26_1_51000 23.2587 70.832
OUT22_1_53500 21.739 62.2982
OUT24_1_52000 23.1309 65.4827
OUT23_1_53000 22.8146 66.5052
OUT26_1_51500 23.3785 71.2323
OUT22_1_54000 21.8226 62.3135
OUT24_1_52500 23.1373 65.5086
OUT23_1_53500 22.617 66.0077
OUT22_1_54500 21.9035 62.3369
OUT26_1_52000 23.4682 71.6337
OUT24_1_53000 23.1067 65.6657
OUT23_1_54000 22.4926 65.5924
OUT22_1_55000 21.9108 62.385
OUT26_1_52500 23.5788 72.0576
OUT24_1_53500 23.1816 66.0073
OUT23_1_54500 22.4034 65.2069
OUT22_1_55500 21.9428 62.4369
OUT26_1_53000 23.7201 72.522
OUT24_1_54000 23.3559 66.373
OUT23_1_55000 22.342 64.8689
OUT22_1_56000 21.9282 62.4001
OUT26_1_53500 23.8875 73.0001
OUT24_1_54500 23.3735 66.431
OUT23_1_55500 22.2501 64.5153
OUT22_1_56500 21.9787 62.4618
OUT26_1_54000 24.0834 73.5101
OUT24_1_55000 23.3411 66.444
OUT23_1_56000 22.1272 64.1789
OUT22_1_57000 22.1031 62.7618
OUT26_1_54500 24.2364 73.9442
OUT24_1_55500 23.3901 66.7386
OUT23_1_56500 22.0179 63.963
OUT22_1_57500 22.2048 63.0468
OUT24_1_56000 23.4181 66.9975
OUT26_1_55000 24.3579 74.2904
OUT23_1_57000 21.9711 63.8571
OUT22_1_58000 22.1878 63.2104
OUT24_1_56500 23.3892 67.2209
OUT26_1_55500 24.4369 74.5461
OUT23_1_57500 21.9706 63.8232
OUT22_1_58500 22.1261 63.2941
OUT24_1_57000 23.3181 67.365
OUT26_1_56000 24.4611 74.6768
OUT23_1_58000 21.9789 63.8599
OUT22_1_59000 22.1123 63.4001
OUT24_1_57500 23.2916 67.5792
OUT26_1_56500 24.4916 74.7501
