file                Rg           Dmax
OUT29_1_15500 32.6835 107.651
OUT25_1_15500 32.6267 107.436
OUT25_1_16000 32.3836 104.668
OUT29_1_16000 32.5317 105.401
OUT25_1_16500 32.109 102.799
OUT29_1_16500 32.4214 105.415
OUT25_1_17000 31.6388 100.272
OUT29_1_17000 32.2013 103.201
OUT25_1_17500 31.1596 97.7681
OUT25_1_18000 30.7666 94.4546
OUT29_1_17500 31.9467 101.486
OUT29_1_18000 31.6461 100.183
OUT25_1_18500 30.2312 91.7569
OUT29_1_18500 31.387 97.8077
OUT25_1_19000 29.7516 88.1644
OUT29_1_19000 31.1471 96.9438
OUT25_1_19500 29.2178 84.674
OUT29_1_19500 30.8842 96.2851
OUT25_1_20000 28.8012 81.8254
OUT29_1_20000 30.723 95.2348
OUT29_1_20500 30.516 93.574
OUT25_1_20500 28.3849 78.6465
OUT29_1_21000 30.221 90.5481
OUT25_1_21000 28.0167 78.9782
OUT25_1_21500 27.6312 79.3306
OUT29_1_21500 29.9453 90.3022
OUT25_1_22000 27.3359 78.2799
OUT29_1_22000 29.6633 88.8148
OUT25_1_22500 27.0735 77.9095
OUT29_1_22500 29.3674 88.1146
OUT25_1_23000 26.8302 76.8413
OUT29_1_23000 29.1386 85.8992
OUT25_1_23500 26.6001 75.5207
OUT29_1_23500 28.9359 83.0317
OUT25_1_24000 26.3511 74.7531
OUT29_1_24000 28.699 81.9895
OUT25_1_24500 26.1586 74.9591
OUT29_1_24500 28.4959 80.1957
OUT25_1_25000 25.9475 74.7402
OUT29_1_25000 28.2549 77.8837
OUT25_1_25500 25.7451 74.855
OUT29_1_25500 28.0836 78.1887
OUT25_1_26000 25.5739 75.0603
OUT29_1_26000 27.9487 79.5007
OUT25_1_26500 25.5041 75.0126
OUT29_1_26500 27.776 81.0164
OUT25_1_27000 25.4556 74.8623
OUT29_1_27000 27.7843 82.164
OUT25_1_27500 25.4216 74.8622
OUT29_1_27500 27.7915 82.4762
OUT29_1_28000 27.7802 83.3118
OUT25_1_28000 25.4281 74.6195
OUT29_1_28500 27.7347 83.8507
OUT25_1_28500 25.4287 73.9608
OUT29_1_29000 27.7822 84.4535
OUT25_1_29000 25.5498 73.3777
OUT29_1_29500 27.8883 84.7031
OUT25_1_29500 25.8687 72.9278
OUT29_1_30000 27.9564 85.0199
OUT25_1_30000 26.1768 72.0769
OUT25_1_30500 26.5642 71.3132
OUT29_1_30500 28.0608 85.3936
OUT25_1_31000 26.8222 70.0381
OUT28_1_15500 32.6693 107.598
OUT34_1_15500 32.7552 107.909
OUT29_1_31000 28.1374 86.3947
OUT25_1_31500 27.047 69.0104
OUT28_1_16000 32.4947 105.26
OUT29_1_31500 28.1952 86.0472
OUT34_1_16000 32.7521 107.264
OUT25_1_32000 27.2323 70.1593
OUT28_1_16500 32.3482 104.216
OUT29_1_32000 28.3398 86.5326
OUT25_1_32500 27.5001 71.6429
OUT34_1_16500 32.8322 105.747
OUT29_1_32500 28.5031 87.5951
OUT25_1_33000 27.7322 72.8092
OUT28_1_17000 32.0652 102.66
OUT34_1_17000 32.9258 107.515
OUT29_1_33000 28.7322 89.1877
OUT25_1_33500 27.8268 73.12
OUT28_1_17500 31.7116 100.405
OUT25_1_34000 28.0428 72.1661
OUT29_1_33500 28.9705 91.0386
OUT34_1_17500 32.9662 107.587
OUT28_1_18000 31.4031 98.6895
OUT25_1_34500 28.1876 70.7705
OUT29_1_34000 29.1674 92.5951
OUT28_1_18500 31.0424 96.8554
OUT25_1_35000 28.2646 70.5567
OUT34_1_18000 33.0614 108.388
OUT29_1_34500 29.3873 94.0418
OUT28_1_19000 30.7337 95.3265
OUT25_1_35500 28.3279 70.6689
OUT34_1_18500 33.1776 108.222
OUT29_1_35000 29.5511 96.02
OUT28_1_19500 30.396 92.8468
OUT25_1_36000 28.2712 71.3562
OUT29_1_35500 29.7041 97.8398
OUT34_1_19000 33.2971 109.491
OUT28_1_20000 30.0512 91.6029
OUT25_1_36500 28.1782 72.0852
OUT29_1_36000 29.9735 99.4393
OUT34_1_19500 33.4377 111.341
OUT28_1_20500 29.775 90.0983
OUT25_1_37000 28.138 71.9659
OUT29_1_36500 30.2069 100.223
OUT28_1_21000 29.545 87.027
OUT34_1_20000 33.5481 112.967
OUT25_1_37500 28.1837 72.6729
OUT28_1_21500 29.2381 84.614
OUT29_1_37000 30.3531 101.575
OUT34_1_20500 33.6531 113.648
OUT25_1_38000 28.0699 71.6606
OUT29_1_37500 30.4572 103.408
OUT28_1_22000 29.0568 82.6018
OUT34_1_21000 33.7674 115.093
OUT25_1_38500 28.0215 71.0477
OUT28_1_22500 28.8258 79.0196
OUT29_1_38000 30.5107 105.562
OUT25_1_39000 27.9767 71.9748
OUT28_1_23000 28.5611 77.4795
OUT34_1_21500 33.9412 117.584
OUT29_1_38500 30.6086 105.239
OUT25_1_39500 27.8122 72.5904
OUT28_1_23500 28.4394 75.2123
OUT34_1_22000 34.1248 117.183
OUT29_1_39000 30.6776 103.893
OUT25_1_40000 27.749 72.7335
OUT28_1_24000 28.2963 76.2959
OUT29_1_39500 30.6381 100.984
OUT34_1_22500 34.2341 116.808
OUT25_1_40500 27.7456 72.6898
OUT28_1_24500 28.0284 75.8576
OUT29_1_40000 30.5876 97.9975
OUT34_1_23000 34.3133 116.238
OUT25_1_41000 27.6336 72.6475
OUT29_1_40500 30.5419 94.2477
OUT28_1_25000 27.8442 76.2256
OUT25_1_41500 27.4388 72.0225
OUT34_1_23500 34.3904 116.745
OUT28_1_25500 27.7053 76.0083
OUT25_1_42000 27.4127 71.9475
OUT29_1_41000 30.5073 91.2633
OUT25_1_42500 27.24 72.3981
OUT28_1_26000 27.5768 76.1832
OUT29_1_41500 30.3784 88.3789
OUT34_1_24000 34.4813 115.753
OUT25_1_43000 27.0145 73.2514
OUT29_1_42000 30.2379 84.2228
OUT28_1_26500 27.3851 75.5439
OUT34_1_24500 34.6192 116.484
OUT25_1_43500 26.824 73.7817
OUT29_1_42500 30.1094 84.3528
OUT28_1_27000 27.3068 75.0903
OUT29_1_43000 30.0156 84.5282
OUT25_1_44000 26.808 74.5059
OUT34_1_25000 34.7188 115.839
OUT28_1_27500 27.3473 74.8843
OUT29_1_43500 29.9305 83.1553
OUT25_1_44500 26.822 75.036
OUT34_1_25500 34.7069 116.512
OUT28_1_28000 27.3573 75.3491
OUT29_1_44000 29.8257 80.1066
OUT25_1_45000 26.6713 75.2134
OUT28_1_28500 27.4552 74.836
OUT34_1_26000 34.6724 116.401
OUT29_1_44500 29.6574 77.6063
OUT25_1_45500 26.6641 75.2257
OUT28_1_29000 27.4939 73.8495
OUT34_1_26500 34.6423 114.639
OUT25_1_46000 26.6815 75.1153
OUT29_1_45000 29.4299 77.696
OUT28_1_29500 27.6084 73.5404
OUT25_1_46500 26.6295 75.319
OUT29_1_45500 29.3045 77.1297
OUT35_1_15500 32.7696 107.96
OUT34_1_27000 34.595 114.321
OUT28_1_30000 27.7498 74.5951
OUT25_1_47000 26.527 75.6446
OUT29_1_46000 29.1559 77.0823
OUT35_1_16000 32.7964 107.141
OUT28_1_30500 27.8177 75.6567
OUT25_1_47500 26.4037 75.8936
OUT29_1_46500 29.0153 77.5614
